en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
"Pounds the foe with forelegs or tail.","Pounds the foe with forelegs or tail.","Pounds the foe with forelegs or tail.","Pounds the foe with forelegs or tail.","Pounds the foe with forelegs or tail.","Pounds the foe with forelegs or tail.","Pounds the foe with forelegs or tail."
"A chopping attack with a high critical-hit ratio.","A chopping attack with a high critical-hit ratio.","A chopping attack with a high critical-hit ratio.","A chopping attack with a high critical-hit ratio.","A chopping attack with a high critical-hit ratio.","A chopping attack with a high critical-hit ratio.","A chopping attack with a high critical-hit ratio."
"Repeatedly slaps the foe 2 to 5 times.","Repeatedly slaps the foe 2 to 5 times.","Repeatedly slaps the foe 2 to 5 times.","Repeatedly slaps the foe 2 to 5 times.","Repeatedly slaps the foe 2 to 5 times.","Repeatedly slaps the foe 2 to 5 times.","Repeatedly slaps the foe 2 to 5 times."
"Repeatedly punches the foe 2 to 5 times.","Repeatedly punches the foe 2 to 5 times.","Repeatedly punches the foe 2 to 5 times.","Repeatedly punches the foe 2 to 5 times.","Repeatedly punches the foe 2 to 5 times.","Repeatedly punches the foe 2 to 5 times.","Repeatedly punches the foe 2 to 5 times."
"A strong punch thrown with incredible power.","A strong punch thrown with incredible power.","A strong punch thrown with incredible power.","A strong punch thrown with incredible power.","A strong punch thrown with incredible power.","A strong punch thrown with incredible power.","A strong punch thrown with incredible power."
"Throws coins at the foe. Money is recovered after.","Throws coins at the foe. Money is recovered after.","Throws coins at the foe. Money is recovered after.","Throws coins at the foe. Money is recovered after.","Throws coins at the foe. Money is recovered after.","Throws coins at the foe. Money is recovered after.","Throws coins at the foe. Money is recovered after."
"A fiery punch that may burn the foe.","A fiery punch that may burn the foe.","A fiery punch that may burn the foe.","A fiery punch that may burn the foe.","A fiery punch that may burn the foe.","A fiery punch that may burn the foe.","A fiery punch that may burn the foe."
"An icy punch that may freeze the foe.","An icy punch that may freeze the foe.","An icy punch that may freeze the foe.","An icy punch that may freeze the foe.","An icy punch that may freeze the foe.","An icy punch that may freeze the foe.","An icy punch that may freeze the foe."
"An electrified punch that may paralyze the foe.","An electrified punch that may paralyze the foe.","An electrified punch that may paralyze the foe.","An electrified punch that may paralyze the foe.","An electrified punch that may paralyze the foe.","An electrified punch that may paralyze the foe.","An electrified punch that may paralyze the foe."
"Scratches the foe with sharp claws.","Scratches the foe with sharp claws.","Scratches the foe with sharp claws.","Scratches the foe with sharp claws.","Scratches the foe with sharp claws.","Scratches the foe with sharp claws.","Scratches the foe with sharp claws."
"Grips the foe with large and powerful pincers.","Grips the foe with large and powerful pincers.","Grips the foe with large and powerful pincers.","Grips the foe with large and powerful pincers.","Grips the foe with large and powerful pincers.","Grips the foe with large and powerful pincers.","Grips the foe with large and powerful pincers."
"A powerful pincer attack that may cause fainting.","A powerful pincer attack that may cause fainting.","A powerful pincer attack that may cause fainting.","A powerful pincer attack that may cause fainting.","A powerful pincer attack that may cause fainting.","A powerful pincer attack that may cause fainting.","A powerful pincer attack that may cause fainting."
"A 2-turn move that strikes the foe on the 2nd turn.","A 2-turn move that strikes the foe on the 2nd turn.","A 2-turn move that strikes the foe on the 2nd turn.","A 2-turn move that strikes the foe on the 2nd turn.","A 2-turn move that strikes the foe on the 2nd turn.","A 2-turn move that strikes the foe on the 2nd turn.","A 2-turn move that strikes the foe on the 2nd turn."
"A fighting dance that sharply raises ATTACK.","A fighting dance that sharply raises ATTACK.","A fighting dance that sharply raises ATTACK.","A fighting dance that sharply raises ATTACK.","A fighting dance that sharply raises ATTACK.","A fighting dance that sharply raises ATTACK.","A fighting dance that sharply raises ATTACK."
"Cuts the foe with sharp scythes, claws, etc.","Cuts the foe with sharp scythes, claws, etc.","Cuts the foe with sharp scythes, claws, etc.","Cuts the foe with sharp scythes, claws, etc.","Cuts the foe with sharp scythes, claws, etc.","Cuts the foe with sharp scythes, claws, etc.","Cuts the foe with sharp scythes, claws, etc."
"Strikes the foe with a gust of wind whipped up by wings.","Strikes the foe with a gust of wind whipped up by wings.","Strikes the foe with a gust of wind whipped up by wings.","Strikes the foe with a gust of wind whipped up by wings.","Strikes the foe with a gust of wind whipped up by wings.","Strikes the foe with a gust of wind whipped up by wings.","Strikes the foe with a gust of wind whipped up by wings."
"Strikes the foe with wings spread wide.","Strikes the foe with wings spread wide.","Strikes the foe with wings spread wide.","Strikes the foe with wings spread wide.","Strikes the foe with wings spread wide.","Strikes the foe with wings spread wide.","Strikes the foe with wings spread wide."
"Blows away the foe with wind and ends the battle.","Blows away the foe with wind and ends the battle.","Blows away the foe with wind and ends the battle.","Blows away the foe with wind and ends the battle.","Blows away the foe with wind and ends the battle.","Blows away the foe with wind and ends the battle.","Blows away the foe with wind and ends the battle."
"Flies up on the first turn, then strikes the next turn.","Flies up on the first turn, then strikes the next turn.","Flies up on the first turn, then strikes the next turn.","Flies up on the first turn, then strikes the next turn.","Flies up on the first turn, then strikes the next turn.","Flies up on the first turn, then strikes the next turn.","Flies up on the first turn, then strikes the next turn."
"Binds and squeezes the foe for 2 to 5 turns.","Binds and squeezes the foe for 2 to 5 turns.","Binds and squeezes the foe for 2 to 5 turns.","Binds and squeezes the foe for 2 to 5 turns.","Binds and squeezes the foe for 2 to 5 turns.","Binds and squeezes the foe for 2 to 5 turns.","Binds and squeezes the foe for 2 to 5 turns."
"Slams the foe with a long tail, vine, etc.","Slams the foe with a long tail, vine, etc.","Slams the foe with a long tail, vine, etc.","Slams the foe with a long tail, vine, etc.","Slams the foe with a long tail, vine, etc.","Slams the foe with a long tail, vine, etc.","Slams the foe with a long tail, vine, etc."
