en,fr,it,de,es,ko,kana
,,,,,,
"A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.","Il a une étrange graine plantée sur son dos. Elle grandit avec lui depuis sa naissance.","Alla nascita gli è stato piantato sulla schiena un seme raro. La pianta sboccia e cresce con lui.","Dieses Pokémon trägt von Geburt an einen Samen auf dem Rücken, der mit ihm keimt und wächst.","Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon.","태어났을 때부터 등에 이상한 씨앗이 심어져 있으며 몸과 함께 자란다고 한다.","うまれたときから　せなかに ふしぎな　タネが　うえてあって からだと　ともに　そだつという。"
"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.","Il y a un bulbe sur son dos. On dit que s’il absorbe assez de nutriments, ce bulbe se transforme en une jolie fleur.","Dopo aver assorbito sufficienti sostanze nutrienti, il bulbo sulla schiena sboccia in un magnifico fiore.","Es trägt eine Knospe auf seinem Rücken. Nimmt es Nahrung zu sich, soll aus der Knospe eine große blühende Blume werden.","Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande.","꽃봉오리가 등에 붙어 있으며 양분을 흡수해가면 커다란 꽃이 핀다고 한다.","つぼみが　せなかに　ついていて ようぶんを　きゅうしゅうしていくと おおきな　はなが　さくという。"
"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.","Ses pétales lui servent à capter la lumière du soleil. Il peut ainsi en canaliser l’énergie.","Si riempie di energia grazie ai grandi petali del fiore, che spalanca catturando i raggi solari.","Es spreizt die breiten Blätter seiner Blüte, um seinen Körper mit Sonnenenergie zu durchfluten.","Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.","큰 꽃잎을 펼쳐 햇빛을 받고 있으면 몸에 힘이 넘쳐흐른다.","おおきな　はなびらを　ひろげ たいようの　ひかりを　あびていると からだに　げんきが　みなぎっていく。"
"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly.","La flamme sur sa queue représente l’énergie vitale de Salamèche. Quand il est vigoureux, elle brûle plus fort.","La fiamma che Charmander ha sulla coda indica la sua forza vitale. Se è in forma, la fiamma è vivace.","Die Flamme auf seiner Schweifspitze zeigt die Lebensenergie an. Ist es gesund, leuchtet sie hell.","La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano.","꼬리의 불꽃은 파이리의 생명력의 상징이다. 건강할 때 왕성하게 불타오른다.","しっぽの　ほのおは　ヒトカゲの せいめいりょくの　あかし。 げんきだと　さかんに　もえさかる。"
"It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.","Il se sert de sa queue pour faire tomber ses adversaires. Une fois qu’ils sont au sol, il les lacère de ses griffes acérées.","Fa cadere a terra il nemico colpendolo con la coda, per poi finirlo con gli artigli affilati.","Es schlägt im Kampf mit seinem Schwanz nach seinen Gegnern. Anschließend zerfetzt es die Gegner mit seinen scharfen Klauen.","Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él.","꼬리를 휘둘러 상대를 쓰러트리고 날카로운 발톱으로 갈기갈기 찢어버린다.","しっぽを　ふりまわして　あいてを なぎたおし　するどい　ツメで ズタズタに　ひきさいてしまう。"
"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.","Quand il crache son souffle brûlant, la flamme au bout de sa queue s’embrase.","Quando emette le sue lingue di fuoco, la fiamma rossa sulla punta della coda brucia più intensamente.","Wenn dieses Pokémon einen Strahl glühenden Feuers speit, leuchtet seine Schwanzspitze auf.","Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.","입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.","くちから　しゃくねつの　ほのおを はきだすとき　しっぽの　さきは より　あかく　はげしく　もえあがる。"
"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","Il se réfugie dans sa carapace et réplique en éclaboussant l’ennemi à la première occasion.","Si ritira nel suo guscio e, alla prima occasione, contrattacca colpendo il nemico con spruzzi d’acqua.","Es zieht sich in seinen Panzer zurück und greift dann mit Wasserstrahlen seine Gegner an.","Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad.","등껍질에 숨어 몸을 보호한다. 상대의 빈틈을 놓치지 않고 물을 뿜어내어 반격한다.","こうらに　とじこもり　みを　まもる。 あいての　すきを　みのがさず みずを　ふきだして　はんげきする。"
"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.","Attaqué, il cache sa tête dans sa carapace, mais son corps trop gros ne peut y tenir en entier.","Quando si sente minacciato ritira la testa nella corazza, mentre la coda sporge sempre un po’.","Bei Gefahr zieht dieses Pokémon seinen Kopf ein. Die Schwanzspitze ragt jedoch aus dem Panzer heraus.","Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando.","딱 하고 머리를 맞을 때 등껍질로 숨어서 피한다. 하지만 꼬리가 살짝 삐져나와 있다.","ポカンと　あたまを　たたかれるとき こうらに　ひっこんで　よける。でも ちょっとだけ　しっぽが　でているよ。"
"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.","Il écrase ses adversaires de tout son poids pour leur faire perdre connaissance. Il rentre dans sa carapace s’il se sent en danger.","Mette KO gli avversari schiacciandoli sotto il corpo possente. Se è in difficoltà, può ritrarsi nella corazza.","Es begräbt seine Gegner mit seinem enormen Körpergewicht. Wenn es in einer aussichtslosen Lage steckt, zieht es sich in seinen Panzer zurück.","Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.","무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.","からだが　おもたく　のしかかって あいてを　きぜつさせる。 ピンチの　ときは　カラに　かくれる。"
