en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
"The stench may cause the target to flinch.","La puanteur peut effrayer l’adversaire.","A volte il cattivo odore fa tentennare i nemici.","Lässt den Gegner durch Gestank zurückschrecken.","Es posible que el rival retroceda por el mal olor.","악취 때문에 상대가 풀죽을 때가 있다.","くさくて　あいてが ひるむ　ことがある。"
"The Pokémon makes it rain when it enters a battle.","Le Pokémon invoque la pluie quand il entre au combat.","Quando scende in campo, il Pokémon attira la pioggia.","Ruft im Kampf Regen herbei.","Hace que llueva cuando entra en combate.","배틀에 나가면 비를 내린다.","せんとうに　でると あめを　ふらす。"
"Its Speed stat is gradually boosted.","La Vitesse du Pokémon augmente progressivement.","La statistica Velocità aumenta gradualmente.","Erhöht Initiative nach und nach.","Aumenta la Velocidad gradualmente.","조금씩 스피드가 높아진다.","ちょっとずつ すばやく　なっていく。"
"Protects the Pokémon from critical hits.","Le Pokémon est protégé des coups critiques.","Evita che il Pokémon subisca brutti colpi.","Wehrt gegnerische Volltreffer ab.","Bloquea golpes críticos.","상대의 공격이 급소에 맞지 않는다.","あいての　こうげきが きゅうしょに　あたらない。"
"It cannot be knocked out with one hit.","Protège des capacités mettant K.O. en un coup.","Evita che il Pokémon vada KO in un sol colpo.","Bietet Schutz gegen K.O.-Treffer.","Evita que el rival pueda debilitarle de un solo golpe.","일격으로 쓰러지지 않는다.","いちげきで たおされない。"
"Prevents the use of self-destructing moves.","Le Pokémon augmente l'humidité de l'air, ce qui empêche tous les Pokémon d'utiliser des capacités explosives telles que Destruction.","Impedisce le mosse autodistruttive.","Hält alle Pokémon davon ab, zu explodieren.","Evita que un Pokémon pueda autodestruirse.","누구도 폭발 할 수 없게 된다.","だれも　ばくはつが できなくなる。"
"Protects the Pokémon from paralysis.","Le Pokémon s'est suffisamment échauffé, ce qui l'immunise contre la paralysie.","Il Pokémon è protetto contro la paralisi.","Verhindert Paralyse.","Evita ser paralizado.","마비 상태가 되지 않는다.","まひ　じょうたいに ならない。"
"Boosts the Pokémon’s evasion in a sandstorm.","Augmente l'Esquive du Pokémon lors des tempêtes de sable.","L’elusione aumenta durante le tempeste di sabbia.","Erhöht in Sandstürmen den Fluchtwert.","Aumenta la Evasión en las tormentas de arena.","모래바람으로 회피율이 올라간다.","すなあらしで かいひりつが　あがる。"
"Contact with the Pokémon may cause paralysis.","Le Pokémon charge son corps en électricité statique, et tout contact avec lui peut paralyser.","Il contatto fisico con il Pokémon può causare paralisi.","Kann bei Berührung paralysieren.","Puede paralizar al mínimo contacto.","접촉한 상대를 마비시킬 때가 있다.","さわった　あいてを まひさせる　ことがある。"
