en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
"The stench helps keep wild Pokémon away.","La puanteur peut repousser les Pokémon sauvages.","The stench helps keep wild Pokémon away.","The stench helps keep wild Pokémon away.","The stench helps keep wild Pokémon away.","The stench helps keep wild Pokémon away.","The stench helps keep wild Pokémon away."
"The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle."
"The Pokémon’s Speed stat is gradually boosted.","La Vitesse du Pokémon augmente progressivement.","The Pokémon’s Speed stat is gradually boosted.","The Pokémon’s Speed stat is gradually boosted.","The Pokémon’s Speed stat is gradually boosted.","The Pokémon’s Speed stat is gradually boosted.","The Pokémon’s Speed stat is gradually boosted."
"The Pokémon is protected against critical hits.","Le Pokémon est protégé des coups critiques.","The Pokémon is protected against critical hits.","The Pokémon is protected against critical hits.","The Pokémon is protected against critical hits.","The Pokémon is protected against critical hits.","The Pokémon is protected against critical hits."
"The Pokémon is protected against 1-hit KO attacks.","The Pokémon is protected against 1-hit KO attacks.","The Pokémon is protected against 1-hit KO attacks.","The Pokémon is protected against 1-hit KO attacks.","The Pokémon is protected against 1-hit KO attacks.","The Pokémon is protected against 1-hit KO attacks.","The Pokémon is protected against 1-hit KO attacks."
"Prevents combatants from self destructing.","Empêche les combattants de s'autodétruire.","Prevents combatants from self destructing.","Prevents combatants from self destructing.","Prevents combatants from self destructing.","Prevents combatants from self destructing.","Prevents combatants from self destructing."
"The Pokémon is protected from paralysis.","Protège le Pokémon de la paralysie.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis."
"Boosts the Pokémon’s evasion in a sandstorm.","Augmente l'esquive lors des tempêtes de sable.","Boosts the Pokémon’s evasion in a sandstorm.","Boosts the Pokémon’s evasion in a sandstorm.","Boosts the Pokémon’s evasion in a sandstorm.","Boosts the Pokémon’s evasion in a sandstorm.","Boosts the Pokémon’s evasion in a sandstorm."
"Contact with the Pokémon may cause paralysis.","Un contact avec le Pokémon peut paralyser.","Contact with the Pokémon may cause paralysis.","Contact with the Pokémon may cause paralysis.","Contact with the Pokémon may cause paralysis.","Contact with the Pokémon may cause paralysis.","Contact with the Pokémon may cause paralysis."
"Restores HP if hit by an Electric-type move.","Récupère des PV si touché par une capacité Electrik.","Restores HP if hit by an Electric-type move.","Restores HP if hit by an Electric-type move.","Restores HP if hit by an Electric-type move.","Restores HP if hit by an Electric-type move.","Restores HP if hit by an Electric-type move."
"Restores HP if hit by a Water-type move.","Récupère des PV si touché par une capacité Eau.","Restores HP if hit by a Water-type move.","Restores HP if hit by a Water-type move.","Restores HP if hit by a Water-type move.","Restores HP if hit by a Water-type move.","Restores HP if hit by a Water-type move."
"Prevents the Pokémon from becoming infatuated.","Empêche le Pokémon de tomber amoureux.","Prevents the Pokémon from becoming infatuated.","Prevents the Pokémon from becoming infatuated.","Prevents the Pokémon from becoming infatuated.","Prevents the Pokémon from becoming infatuated.","Prevents the Pokémon from becoming infatuated."
"Eliminates the effects of weather.","Annule les effets du climat.","Eliminates the effects of weather.","Eliminates the effects of weather.","Eliminates the effects of weather.","Eliminates the effects of weather.","Eliminates the effects of weather."
"The Pokémon’s accuracy is boosted.","Augmente la précision du Pokémon.","The Pokémon’s accuracy is boosted.","The Pokémon’s accuracy is boosted.","The Pokémon’s accuracy is boosted.","The Pokémon’s accuracy is boosted.","The Pokémon’s accuracy is boosted."
"Prevents the Pokémon from falling asleep.","Empêche de s'endormir.","Prevents the Pokémon from falling asleep.","Prevents the Pokémon from falling asleep.","Prevents the Pokémon from falling asleep.","Prevents the Pokémon from falling asleep.","Prevents the Pokémon from falling asleep."
"Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move."
"Prevents the Pokémon from getting poisoned.","Empêche le Pokémon d'être empoisonné.","Prevents the Pokémon from getting poisoned.","Prevents the Pokémon from getting poisoned.","Prevents the Pokémon from getting poisoned.","Prevents the Pokémon from getting poisoned.","Prevents the Pokémon from getting poisoned."
"Powers up Fire-type moves if hit by a fire move.","Booste capacités Feu si touché par attaques Feu.","Powers up Fire-type moves if hit by a fire move.","Powers up Fire-type moves if hit by a fire move.","Powers up Fire-type moves if hit by a fire move.","Powers up Fire-type moves if hit by a fire move.","Powers up Fire-type moves if hit by a fire move."
"Blocks the added effects of attacks taken.","Annule les effets cumulés d'une attaque ennemie.","Blocks the added effects of attacks taken.","Blocks the added effects of attacks taken.","Blocks the added effects of attacks taken.","Blocks the added effects of attacks taken.","Blocks the added effects of attacks taken."
"Prevents the Pokémon from becoming confused.","Empêche la confusion.","Prevents the Pokémon from becoming confused.","Prevents the Pokémon from becoming confused.","Prevents the Pokémon from becoming confused.","Prevents the Pokémon from becoming confused.","Prevents the Pokémon from becoming confused."
"Negates moves that force switching out.","Annule les cap. forçant à changer de Pokémon.","Negates moves that force switching out.","Negates moves that force switching out.","Negates moves that force switching out.","Negates moves that force switching out.","Negates moves that force switching out."
"Lowers the foe’s Attack stat.","Baisse l'Attaque ennemie.","Lowers the foe’s Attack stat.","Lowers the foe’s Attack stat.","Lowers the foe’s Attack stat.","Lowers the foe’s Attack stat.","Lowers the foe’s Attack stat."
"Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping."
"Inflicts damage to the foe on contact.","Le Pokémon blesse l'ennemi qui le touche.","Inflicts damage to the foe on contact.","Inflicts damage to the foe on contact.","Inflicts damage to the foe on contact.","Inflicts damage to the foe on contact.","Inflicts damage to the foe on contact."
"Only supereffective moves will hit.","Seules capacités “super efficaces” l'atteignent.","Only supereffective moves will hit.","Only supereffective moves will hit.","Only supereffective moves will hit.","Only supereffective moves will hit.","Only supereffective moves will hit."
"Gives full immunity to all Ground-type moves.","Immunise contre toutes les capacités de type Sol.","Gives full immunity to all Ground-type moves.","Gives full immunity to all Ground-type moves.","Gives full immunity to all Ground-type moves.","Gives full immunity to all Ground-type moves.","Gives full immunity to all Ground-type moves."
"Contact may paralyze, poison, or cause sleep.","Peut paralyser, empoisonner, endormir au contact.","Contact may paralyze, poison, or cause sleep.","Contact may paralyze, poison, or cause sleep.","Contact may paralyze, poison, or cause sleep.","Contact may paralyze, poison, or cause sleep.","Contact may paralyze, poison, or cause sleep."
"Passes on a burn, poison, or paralysis to the foe.","Transmet brûlure, poison ou paralysie à l'ennemi.","Passes on a burn, poison, or paralysis to the foe.","Passes on a burn, poison, or paralysis to the foe.","Passes on a burn, poison, or paralysis to the foe.","Passes on a burn, poison, or paralysis to the foe.","Passes on a burn, poison, or paralysis to the foe."
"Prevents the Pokémon’s stats from being lowered.","Peut empêcher les stats du Pokémon de baisser.","Prevents the Pokémon’s stats from being lowered.","Prevents the Pokémon’s stats from being lowered.","Prevents the Pokémon’s stats from being lowered.","Prevents the Pokémon’s stats from being lowered.","Prevents the Pokémon’s stats from being lowered."
"All status problems are healed upon switching out.","Quitter le combat soigne les problèmes de statut.","All status problems are healed upon switching out.","All status problems are healed upon switching out.","All status problems are healed upon switching out.","All status problems are healed upon switching out.","All status problems are healed upon switching out."
"The Pokémon draws in all Electric-type moves.","The Pokémon draws in all Electric-type moves.","The Pokémon draws in all Electric-type moves.","The Pokémon draws in all Electric-type moves.","The Pokémon draws in all Electric-type moves.","The Pokémon draws in all Electric-type moves.","The Pokémon draws in all Electric-type moves."
"Boosts the likelihood of added effects appearing.","Augmente la fréquence du cumul d'effets.","Boosts the likelihood of added effects appearing.","Boosts the likelihood of added effects appearing.","Boosts the likelihood of added effects appearing.","Boosts the likelihood of added effects appearing.","Boosts the likelihood of added effects appearing."
"Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain."
"Boosts the Pokémon’s Speed in sunshine.","Augmente la Vitesse du Pokémon s'il y a du soleil.","Boosts the Pokémon’s Speed in sunshine.","Boosts the Pokémon’s Speed in sunshine.","Boosts the Pokémon’s Speed in sunshine.","Boosts the Pokémon’s Speed in sunshine.","Boosts the Pokémon’s Speed in sunshine."
