en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
"Helps repel wild POKéMON.","Repousse POKéMON sauvage.","Helps repel wild POKéMON.","Helps repel wild POKéMON.","Helps repel wild POKéMON.","Helps repel wild POKéMON.","Helps repel wild POKéMON."
"Summons rain in battle.","Summons rain in battle.","Summons rain in battle.","Summons rain in battle.","Summons rain in battle.","Summons rain in battle.","Summons rain in battle."
"Gradually boosts SPEED.","Améliore la VITESSE.","Gradually boosts SPEED.","Gradually boosts SPEED.","Gradually boosts SPEED.","Gradually boosts SPEED.","Gradually boosts SPEED."
"Blocks critical hits.","Bloque les coups critiques.","Blocks critical hits.","Blocks critical hits.","Blocks critical hits.","Blocks critical hits.","Blocks critical hits."
"Negates 1-hit KO attacks.","Negates 1-hit KO attacks.","Negates 1-hit KO attacks.","Negates 1-hit KO attacks.","Negates 1-hit KO attacks.","Negates 1-hit KO attacks.","Negates 1-hit KO attacks."
"Prevents self-destruction.","Empêche auto-destruction.","Prevents self-destruction.","Prevents self-destruction.","Prevents self-destruction.","Prevents self-destruction.","Prevents self-destruction."
"Prevents paralysis.","Empêche la paralysie.","Prevents paralysis.","Prevents paralysis.","Prevents paralysis.","Prevents paralysis.","Prevents paralysis."
"Ups evasion in a sandstorm.","Evasion si tempête sable.","Ups evasion in a sandstorm.","Ups evasion in a sandstorm.","Ups evasion in a sandstorm.","Ups evasion in a sandstorm.","Ups evasion in a sandstorm."
"Paralyzes on contact.","Paralyse au toucher.","Paralyzes on contact.","Paralyzes on contact.","Paralyzes on contact.","Paralyzes on contact.","Paralyzes on contact."
"Turns electricity into HP.","Change l'électricité en PV.","Turns electricity into HP.","Turns electricity into HP.","Turns electricity into HP.","Turns electricity into HP.","Turns electricity into HP."
"Changes water into HP.","Change l'eau en PV.","Changes water into HP.","Changes water into HP.","Changes water into HP.","Changes water into HP.","Changes water into HP."
"Prevents attraction.","Empêche l'attirance.","Prevents attraction.","Prevents attraction.","Prevents attraction.","Prevents attraction.","Prevents attraction."
"Negates weather effects.","Negates weather effects.","Negates weather effects.","Negates weather effects.","Negates weather effects.","Negates weather effects.","Negates weather effects."
"Raises accuracy.","Augmente la précision.","Raises accuracy.","Raises accuracy.","Raises accuracy.","Raises accuracy.","Raises accuracy."
"Prevents sleep.","Empêche de s'endormir.","Prevents sleep.","Prevents sleep.","Prevents sleep.","Prevents sleep.","Prevents sleep."
"Changes type to foe’s move.","Changes type to foe’s move.","Changes type to foe’s move.","Changes type to foe’s move.","Changes type to foe’s move.","Changes type to foe’s move.","Changes type to foe’s move."
"Prevents poisoning.","Empêche l'empoisonnement.","Prevents poisoning.","Prevents poisoning.","Prevents poisoning.","Prevents poisoning.","Prevents poisoning."
"Powers up if hit by fire.","Puissance monte si brûlé.","Powers up if hit by fire.","Powers up if hit by fire.","Powers up if hit by fire.","Powers up if hit by fire.","Powers up if hit by fire."
"Prevents added effects.","Empêche le cumul d'effets.","Prevents added effects.","Prevents added effects.","Prevents added effects.","Prevents added effects.","Prevents added effects."
"Prevents confusion.","Empêche la confusion.","Prevents confusion.","Prevents confusion.","Prevents confusion.","Prevents confusion.","Prevents confusion."
"Firmly anchors the body.","Fixe solidement le corps.","Firmly anchors the body.","Firmly anchors the body.","Firmly anchors the body.","Firmly anchors the body.","Firmly anchors the body."
"Lowers the foe’s ATTACK.","Baisse l'ATTAQUE ennemie.","Lowers the foe’s ATTACK.","Lowers the foe’s ATTACK.","Lowers the foe’s ATTACK.","Lowers the foe’s ATTACK.","Lowers the foe’s ATTACK."
"Prevents the foe’s escape.","Empêche la fuite ennemie.","Prevents the foe’s escape.","Prevents the foe’s escape.","Prevents the foe’s escape.","Prevents the foe’s escape.","Prevents the foe’s escape."
"Hurts to touch.","Blesse quand touché.","Hurts to touch.","Hurts to touch.","Hurts to touch.","Hurts to touch.","Hurts to touch."
"“Super effective” hits.","Reçoit seul. sup. eff..","“Super effective” hits.","“Super effective” hits.","“Super effective” hits.","“Super effective” hits.","“Super effective” hits."
"Not hit by GROUND attacks.","Ignore les attaques SOL.","Not hit by GROUND attacks.","Not hit by GROUND attacks.","Not hit by GROUND attacks.","Not hit by GROUND attacks.","Not hit by GROUND attacks."
"Leaves spores on contact.","Laisse spores si touché.","Leaves spores on contact.","Leaves spores on contact.","Leaves spores on contact.","Leaves spores on contact.","Leaves spores on contact."
"Passes on status problems.","Transfère statuts.","Passes on status problems.","Passes on status problems.","Passes on status problems.","Passes on status problems.","Passes on status problems."
"Prevents ability reduction.","Empêche réduction de cap.","Prevents ability reduction.","Prevents ability reduction.","Prevents ability reduction.","Prevents ability reduction.","Prevents ability reduction."
"Heals upon switching out.","Soigne POKéMON changeant.","Heals upon switching out.","Heals upon switching out.","Heals upon switching out.","Heals upon switching out.","Heals upon switching out."
"Draws electrical moves.","Draws electrical moves.","Draws electrical moves.","Draws electrical moves.","Draws electrical moves.","Draws electrical moves.","Draws electrical moves."
"Promotes added effects.","Favorise le cumul d'effet.","Promotes added effects.","Promotes added effects.","Promotes added effects.","Promotes added effects.","Promotes added effects."
"Raises SPEED in rain.","Monte VITESSE s'il pleut.","Raises SPEED in rain.","Raises SPEED in rain.","Raises SPEED in rain.","Raises SPEED in rain.","Raises SPEED in rain."
"Raises SPEED in sunshine.","Augmente vitesse au soleil.","Raises SPEED in sunshine.","Raises SPEED in sunshine.","Raises SPEED in sunshine.","Raises SPEED in sunshine.","Raises SPEED in sunshine."
"Encounter rate increases.","Augmente les rencontres.","Encounter rate increases.","Encounter rate increases.","Encounter rate increases.","Encounter rate increases.","Encounter rate increases."
"Copies special ability.","Copies special ability.","Copies special ability.","Copies special ability.","Copies special ability.","Copies special ability.","Copies special ability."
"Raises ATTACK.","Augmente ATTAQUE.","Raises ATTACK.","Raises ATTACK.","Raises ATTACK.","Raises ATTACK.","Raises ATTACK."
"Poisons foe on contact.","Empoisonne quand touché.","Poisons foe on contact.","Poisons foe on contact.","Poisons foe on contact.","Poisons foe on contact.","Poisons foe on contact."
"Prevents flinching.","Empêche la peur.","Prevents flinching.","Prevents flinching.","Prevents flinching.","Prevents flinching.","Prevents flinching."
"Prevents freezing.","Prevents freezing.","Prevents freezing.","Prevents freezing.","Prevents freezing.","Prevents freezing.","Prevents freezing."
"Prevents burns.","Empêche les brûlures.","Prevents burns.","Prevents burns.","Prevents burns.","Prevents burns.","Prevents burns."
"Traps STEEL-type POKéMON.","Piège les POKéMON ACIER.","Traps STEEL-type POKéMON.","Traps STEEL-type POKéMON.","Traps STEEL-type POKéMON.","Traps STEEL-type POKéMON.","Traps STEEL-type POKéMON."
"Avoids sound-based moves.","Évite les attaques sonores.","Avoids sound-based moves.","Avoids sound-based moves.","Avoids sound-based moves.","Avoids sound-based moves.","Avoids sound-based moves."
"Slight HP recovery in rain.","Gagne quelques PV si pluie.","Slight HP recovery in rain.","Slight HP recovery in rain.","Slight HP recovery in rain.","Slight HP recovery in rain.","Slight HP recovery in rain."
