en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
"Pounds with fore­ legs or tail.","Pounds with fore­ legs or tail.","Pounds with fore­ legs or tail.","Pounds with fore­ legs or tail.","Pounds with fore­ legs or tail.","Pounds with fore­ legs or tail.","Pounds with fore­ legs or tail."
"Has a high criti­ cal hit ratio.","Has a high criti­ cal hit ratio.","Has a high criti­ cal hit ratio.","Has a high criti­ cal hit ratio.","Has a high criti­ cal hit ratio.","Has a high criti­ cal hit ratio.","Has a high criti­ cal hit ratio."
"Repeatedly slaps 2-5 times.","Repeatedly slaps 2-5 times.","Repeatedly slaps 2-5 times.","Repeatedly slaps 2-5 times.","Repeatedly slaps 2-5 times.","Repeatedly slaps 2-5 times.","Repeatedly slaps 2-5 times."
"Repeatedly punches 2-5 times.","Repeatedly punches 2-5 times.","Repeatedly punches 2-5 times.","Repeatedly punches 2-5 times.","Repeatedly punches 2-5 times.","Repeatedly punches 2-5 times.","Repeatedly punches 2-5 times."
"A powerful punch thrown very hard.","A powerful punch thrown very hard.","A powerful punch thrown very hard.","A powerful punch thrown very hard.","A powerful punch thrown very hard.","A powerful punch thrown very hard.","A powerful punch thrown very hard."
"Throws coins. Gets them back later.","Throws coins. Gets them back later.","Throws coins. Gets them back later.","Throws coins. Gets them back later.","Throws coins. Gets them back later.","Throws coins. Gets them back later.","Throws coins. Gets them back later."
"A fiery punch. May cause a burn.","A fiery punch. May cause a burn.","A fiery punch. May cause a burn.","A fiery punch. May cause a burn.","A fiery punch. May cause a burn.","A fiery punch. May cause a burn.","A fiery punch. May cause a burn."
"An icy punch. May cause freezing.","An icy punch. May cause freezing.","An icy punch. May cause freezing.","An icy punch. May cause freezing.","An icy punch. May cause freezing.","An icy punch. May cause freezing.","An icy punch. May cause freezing."
"An electric punch. It may paralyze.","An electric punch. It may paralyze.","An electric punch. It may paralyze.","An electric punch. It may paralyze.","An electric punch. It may paralyze.","An electric punch. It may paralyze.","An electric punch. It may paralyze."
"Scratches with sharp claws.","Scratches with sharp claws.","Scratches with sharp claws.","Scratches with sharp claws.","Scratches with sharp claws.","Scratches with sharp claws.","Scratches with sharp claws."
"Grips with power­ ful pincers.","Grips with power­ ful pincers.","Grips with power­ ful pincers.","Grips with power­ ful pincers.","Grips with power­ ful pincers.","Grips with power­ ful pincers.","Grips with power­ ful pincers."
