en,fr,it,de,es,ko,kana
,,,,,,
"For some time after its birth, it grows by gaining nourishment from the seed on its back.","Au matin de sa vie, la graine sur son dos lui fournit les éléments dont il a besoin pour grandir.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back."
"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","Lorsque le bourgeon sur son dos éclot, il répand un doux parfum pour célébrer sa floraison.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","Le parfum de sa fleur se fait plus pénétrant les lendemains de pluie. Cela appâte les autres Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","La flamme de sa queue symbolise sa vitalité. Elle est intense quand il est en bonne santé.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.","La nuit, la queue ardente du Reptincel brille comme une étoile dans son repaire montagneux.","In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.","In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.","In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.","In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.","In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars."
"It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","On raconte que la flamme du Dracaufeu s’intensifie après un combat difficile.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles."
"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","Il se réfugie dans sa carapace et réplique en éclaboussant l’ennemi à la première occasion.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","On prétend qu’il vit 10 000 ans. Sa queue duveteuse est un symbole de longévité populaire.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
"The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","Les trombes d’eau projetées par les canons de sa carapace peuvent percer le métal le plus résistant.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel."
