en,fr,it,de,es,ko,kana
,,,,,,
"The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows."
"Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.","Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.","Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.","Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.","Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.","Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.","Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger."
"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power."
"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."
"It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins.","It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins.","It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins.","It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins.","It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins.","It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins.","It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins."
"If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color."
"The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it.","The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it.","The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it.","The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it.","The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it.","The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it.","The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it."
"It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."
"It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires."
"For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies.","For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies.","For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies.","For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies.","For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies.","For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies.","For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies."
"Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell.","Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell.","Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell.","Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell.","Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell.","Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell.","Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell."
"It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.","It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.","It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.","It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.","It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.","It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.","It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest."
