en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
"The stench may cause the target to flinch.","La puanteur peut effrayer l'adversaire.","The stench may cause the target to flinch.","The stench may cause the target to flinch.","The stench may cause the target to flinch.","The stench may cause the target to flinch.","The stench may cause the target to flinch."
"The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle.","The Pokémon makes it rain if it appears in battle."
"Its Speed stat is gradually boosted.","La Vitesse du Pokémon augmente progressivement.","Its Speed stat is gradually boosted.","Its Speed stat is gradually boosted.","Its Speed stat is gradually boosted.","Its Speed stat is gradually boosted.","Its Speed stat is gradually boosted."
"The Pokémon is protected against critical hits.","Le Pokémon est protégé des coups critiques.","The Pokémon is protected against critical hits.","The Pokémon is protected against critical hits.","The Pokémon is protected against critical hits.","The Pokémon is protected against critical hits.","The Pokémon is protected against critical hits."
"It cannot be knocked out with one hit.","It cannot be knocked out with one hit.","It cannot be knocked out with one hit.","It cannot be knocked out with one hit.","It cannot be knocked out with one hit.","It cannot be knocked out with one hit.","It cannot be knocked out with one hit."
"Prevents the use of self-destructing moves.","Empêche les combattants de s'autodétruire.","Prevents the use of self-destructing moves.","Prevents the use of self-destructing moves.","Prevents the use of self-destructing moves.","Prevents the use of self-destructing moves.","Prevents the use of self-destructing moves."
"The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis.","The Pokémon is protected from paralysis."
"Boosts the Pokémon’s evasion in a sandstorm.","Augmente l'Esquive lors des tempêtes de sable.","Boosts the Pokémon’s evasion in a sandstorm.","Boosts the Pokémon’s evasion in a sandstorm.","Boosts the Pokémon’s evasion in a sandstorm.","Boosts the Pokémon’s evasion in a sandstorm.","Boosts the Pokémon’s evasion in a sandstorm."
"Contact with the Pokémon may cause paralysis.","Un contact avec le Pokémon peut paralyser.","Contact with the Pokémon may cause paralysis.","Contact with the Pokémon may cause paralysis.","Contact with the Pokémon may cause paralysis.","Contact with the Pokémon may cause paralysis.","Contact with the Pokémon may cause paralysis."
"Restores HP if hit by an Electric-type move.","Récupère des PV si touché par une capacité Electrik.","Restores HP if hit by an Electric-type move.","Restores HP if hit by an Electric-type move.","Restores HP if hit by an Electric-type move.","Restores HP if hit by an Electric-type move.","Restores HP if hit by an Electric-type move."
"Restores HP if hit by a Water-type move.","Récupère des PV si touché par une capacité Eau.","Restores HP if hit by a Water-type move.","Restores HP if hit by a Water-type move.","Restores HP if hit by a Water-type move.","Restores HP if hit by a Water-type move.","Restores HP if hit by a Water-type move."
"Prevents it from becoming infatuated.","Empêche le Pokémon de tomber amoureux.","Prevents it from becoming infatuated.","Prevents it from becoming infatuated.","Prevents it from becoming infatuated.","Prevents it from becoming infatuated.","Prevents it from becoming infatuated."
"Eliminates the effects of weather.","Annule les effets du climat.","Eliminates the effects of weather.","Eliminates the effects of weather.","Eliminates the effects of weather.","Eliminates the effects of weather.","Eliminates the effects of weather."
"The Pokémon’s accuracy is boosted.","Augmente la précision du Pokémon.","The Pokémon’s accuracy is boosted.","The Pokémon’s accuracy is boosted.","The Pokémon’s accuracy is boosted.","The Pokémon’s accuracy is boosted.","The Pokémon’s accuracy is boosted."
"Prevents the Pokémon from falling asleep.","Empêche de s'endormir.","Prevents the Pokémon from falling asleep.","Prevents the Pokémon from falling asleep.","Prevents the Pokémon from falling asleep.","Prevents the Pokémon from falling asleep.","Prevents the Pokémon from falling asleep."
"Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move.","Changes the Pokémon’s type to the foe’s move."
"Prevents the Pokémon from getting poisoned.","Empêche le Pokémon d'être empoisonné.","Prevents the Pokémon from getting poisoned.","Prevents the Pokémon from getting poisoned.","Prevents the Pokémon from getting poisoned.","Prevents the Pokémon from getting poisoned.","Prevents the Pokémon from getting poisoned."
"It powers up Fire-type moves if it’s hit by one.","Booste capacités Feu si touché par attaques Feu.","It powers up Fire-type moves if it’s hit by one.","It powers up Fire-type moves if it’s hit by one.","It powers up Fire-type moves if it’s hit by one.","It powers up Fire-type moves if it’s hit by one.","It powers up Fire-type moves if it’s hit by one."
"Blocks the added effects of attacks taken.","Annule les effets cumulés d'une attaque ennemie.","Blocks the added effects of attacks taken.","Blocks the added effects of attacks taken.","Blocks the added effects of attacks taken.","Blocks the added effects of attacks taken.","Blocks the added effects of attacks taken."
"Prevents the Pokémon from becoming confused.","Empêche la confusion.","Prevents the Pokémon from becoming confused.","Prevents the Pokémon from becoming confused.","Prevents the Pokémon from becoming confused.","Prevents the Pokémon from becoming confused.","Prevents the Pokémon from becoming confused."
"Negates all moves that force switching out.","Annule les cap. et obj. qui font changer de Pokémon.","Negates all moves that force switching out.","Negates all moves that force switching out.","Negates all moves that force switching out.","Negates all moves that force switching out.","Negates all moves that force switching out."
"Lowers the foe’s Attack stat.","Baisse l'Attaque ennemie.","Lowers the foe’s Attack stat.","Lowers the foe’s Attack stat.","Lowers the foe’s Attack stat.","Lowers the foe’s Attack stat.","Lowers the foe’s Attack stat."
"Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping.","Prevents the foe from escaping."
"Inflicts damage to the attacker on contact.","Le Pokémon blesse l'ennemi qui le touche.","Inflicts damage to the attacker on contact.","Inflicts damage to the attacker on contact.","Inflicts damage to the attacker on contact.","Inflicts damage to the attacker on contact.","Inflicts damage to the attacker on contact."
"Only supereffective moves will hit.","Seules capacités “super efficaces” l'atteignent.","Only supereffective moves will hit.","Only supereffective moves will hit.","Only supereffective moves will hit.","Only supereffective moves will hit.","Only supereffective moves will hit."
"Gives full immunity to all Ground-type moves.","Immunise contre toutes les capacités de type Sol.","Gives full immunity to all Ground-type moves.","Gives full immunity to all Ground-type moves.","Gives full immunity to all Ground-type moves.","Gives full immunity to all Ground-type moves.","Gives full immunity to all Ground-type moves."
"Contact may poison or cause paralysis or sleep.","Peut paralyser, empoisonner, endormir au contact.","Contact may poison or cause paralysis or sleep.","Contact may poison or cause paralysis or sleep.","Contact may poison or cause paralysis or sleep.","Contact may poison or cause paralysis or sleep.","Contact may poison or cause paralysis or sleep."
"Passes a burn, poison, or paralysis to the foe.","Transmet brûlure, poison ou paralysie à l'ennemi.","Passes a burn, poison, or paralysis to the foe.","Passes a burn, poison, or paralysis to the foe.","Passes a burn, poison, or paralysis to the foe.","Passes a burn, poison, or paralysis to the foe.","Passes a burn, poison, or paralysis to the foe."
"Prevents other Pokémon from lowering its stats.","Peut empêcher les stats du Pokémon de baisser.","Prevents other Pokémon from lowering its stats.","Prevents other Pokémon from lowering its stats.","Prevents other Pokémon from lowering its stats.","Prevents other Pokémon from lowering its stats.","Prevents other Pokémon from lowering its stats."
"All status problems heal when it switches out.","Quitter le combat soigne les problèmes de statut.","All status problems heal when it switches out.","All status problems heal when it switches out.","All status problems heal when it switches out.","All status problems heal when it switches out.","All status problems heal when it switches out."
"Draws in all Electric-type moves to up Sp. Attack.","Draws in all Electric-type moves to up Sp. Attack.","Draws in all Electric-type moves to up Sp. Attack.","Draws in all Electric-type moves to up Sp. Attack.","Draws in all Electric-type moves to up Sp. Attack.","Draws in all Electric-type moves to up Sp. Attack.","Draws in all Electric-type moves to up Sp. Attack."
"Boosts the likelihood of added effects appearing.","Augmente la fréquence du cumul d'effets.","Boosts the likelihood of added effects appearing.","Boosts the likelihood of added effects appearing.","Boosts the likelihood of added effects appearing.","Boosts the likelihood of added effects appearing.","Boosts the likelihood of added effects appearing."
"Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain.","Boosts the Pokémon’s Speed in rain."
"Boosts the Pokémon’s Speed in sunshine.","Augmente la Vitesse du Pokémon s'il y a du soleil.","Boosts the Pokémon’s Speed in sunshine.","Boosts the Pokémon’s Speed in sunshine.","Boosts the Pokémon’s Speed in sunshine.","Boosts the Pokémon’s Speed in sunshine.","Boosts the Pokémon’s Speed in sunshine."
"Raises the likelihood of meeting wild Pokémon.","Augmente les rencontres avec Pokémon sauvages.","Raises the likelihood of meeting wild Pokémon.","Raises the likelihood of meeting wild Pokémon.","Raises the likelihood of meeting wild Pokémon.","Raises the likelihood of meeting wild Pokémon.","Raises the likelihood of meeting wild Pokémon."
"The Pokémon copies a foe’s Ability.","Imite la capacité spéciale de l'ennemi.","The Pokémon copies a foe’s Ability.","The Pokémon copies a foe’s Ability.","The Pokémon copies a foe’s Ability.","The Pokémon copies a foe’s Ability.","The Pokémon copies a foe’s Ability."
"Raises the Pokémon’s Attack stat.","Augmente l'Attaque du Pokémon.","Raises the Pokémon’s Attack stat.","Raises the Pokémon’s Attack stat.","Raises the Pokémon’s Attack stat.","Raises the Pokémon’s Attack stat.","Raises the Pokémon’s Attack stat."
"Contact with the Pokémon may poison the attacker.","Peut empoisonner l'ennemi s'il y a contact.","Contact with the Pokémon may poison the attacker.","Contact with the Pokémon may poison the attacker.","Contact with the Pokémon may poison the attacker.","Contact with the Pokémon may poison the attacker.","Contact with the Pokémon may poison the attacker."
"The Pokémon is protected from flinching.","Empêche le Pokémon d'avoir peur.","The Pokémon is protected from flinching.","The Pokémon is protected from flinching.","The Pokémon is protected from flinching.","The Pokémon is protected from flinching.","The Pokémon is protected from flinching."
"Prevents the Pokémon from becoming frozen.","Protège le Pokémon contre le gel.","Prevents the Pokémon from becoming frozen.","Prevents the Pokémon from becoming frozen.","Prevents the Pokémon from becoming frozen.","Prevents the Pokémon from becoming frozen.","Prevents the Pokémon from becoming frozen."
"Prevents the Pokémon from getting a burn.","Empêche les brûlures.","Prevents the Pokémon from getting a burn.","Prevents the Pokémon from getting a burn.","Prevents the Pokémon from getting a burn.","Prevents the Pokémon from getting a burn.","Prevents the Pokémon from getting a burn."
"Prevents Steel-type Pokémon from escaping.","Empêche les Pokémon Acier de fuir.","Prevents Steel-type Pokémon from escaping.","Prevents Steel-type Pokémon from escaping.","Prevents Steel-type Pokémon from escaping.","Prevents Steel-type Pokémon from escaping.","Prevents Steel-type Pokémon from escaping."
"Gives full immunity to all sound-based moves.","Protège de toutes les capacités sonores.","Gives full immunity to all sound-based moves.","Gives full immunity to all sound-based moves.","Gives full immunity to all sound-based moves.","Gives full immunity to all sound-based moves.","Gives full immunity to all sound-based moves."
"The Pokémon gradually regains HP in rain.","Récupère progressivement des PV par temps de pluie.","The Pokémon gradually regains HP in rain.","The Pokémon gradually regains HP in rain.","The Pokémon gradually regains HP in rain.","The Pokémon gradually regains HP in rain.","The Pokémon gradually regains HP in rain."
"The Pokémon summons a sandstorm in battle.","Le Pokémon invoque une tempête de sable.","The Pokémon summons a sandstorm in battle.","The Pokémon summons a sandstorm in battle.","The Pokémon summons a sandstorm in battle.","The Pokémon summons a sandstorm in battle.","The Pokémon summons a sandstorm in battle."
"The Pokémon raises the foe’s PP usage.","The Pokémon raises the foe’s PP usage.","The Pokémon raises the foe’s PP usage.","The Pokémon raises the foe’s PP usage.","The Pokémon raises the foe’s PP usage.","The Pokémon raises the foe’s PP usage.","The Pokémon raises the foe’s PP usage."
"Ups resistance to Fire-​ and Ice-type moves.","Augmente la résistance aux cap. Feu et Glace.","Ups resistance to Fire-​ and Ice-type moves.","Ups resistance to Fire-​ and Ice-type moves.","Ups resistance to Fire-​ and Ice-type moves.","Ups resistance to Fire-​ and Ice-type moves.","Ups resistance to Fire-​ and Ice-type moves."
"The Pokémon awakens quickly from sleep.","Le Pokémon se réveille plus rapidement.","The Pokémon awakens quickly from sleep.","The Pokémon awakens quickly from sleep.","The Pokémon awakens quickly from sleep.","The Pokémon awakens quickly from sleep.","The Pokémon awakens quickly from sleep."
"Contact with the Pokémon may burn the attacker.","Peut brûler l'ennemi s'il y a contact.","Contact with the Pokémon may burn the attacker.","Contact with the Pokémon may burn the attacker.","Contact with the Pokémon may burn the attacker.","Contact with the Pokémon may burn the attacker.","Contact with the Pokémon may burn the attacker."
"Enables a sure getaway from wild Pokémon.","Enables a sure getaway from wild Pokémon.","Enables a sure getaway from wild Pokémon.","Enables a sure getaway from wild Pokémon.","Enables a sure getaway from wild Pokémon.","Enables a sure getaway from wild Pokémon.","Enables a sure getaway from wild Pokémon."
"Prevents other Pokémon from lowering accuracy.","Empêche le Pokémon de perdre en précision.","Prevents other Pokémon from lowering accuracy.","Prevents other Pokémon from lowering accuracy.","Prevents other Pokémon from lowering accuracy.","Prevents other Pokémon from lowering accuracy.","Prevents other Pokémon from lowering accuracy."
"Prevents other Pokémon from lowering Attack stat.","Empêche la réduction de l'Attaque.","Prevents other Pokémon from lowering Attack stat.","Prevents other Pokémon from lowering Attack stat.","Prevents other Pokémon from lowering Attack stat.","Prevents other Pokémon from lowering Attack stat.","Prevents other Pokémon from lowering Attack stat."
"The Pokémon may pick up items.","The Pokémon may pick up items.","The Pokémon may pick up items.","The Pokémon may pick up items.","The Pokémon may pick up items.","The Pokémon may pick up items.","The Pokémon may pick up items."
"Pokémon can’t attack on consecutive turns.","Le Pokémon ne frappe qu'un tour sur deux.","Pokémon can’t attack on consecutive turns.","Pokémon can’t attack on consecutive turns.","Pokémon can’t attack on consecutive turns.","Pokémon can’t attack on consecutive turns.","Pokémon can’t attack on consecutive turns."
"Boosts the Attack stat, but lowers accuracy.","Améliore l'Attaque mais diminue la Précision.","Boosts the Attack stat, but lowers accuracy.","Boosts the Attack stat, but lowers accuracy.","Boosts the Attack stat, but lowers accuracy.","Boosts the Attack stat, but lowers accuracy.","Boosts the Attack stat, but lowers accuracy."
"Contact with the Pokémon may cause infatuation.","Séduit parfois l'ennemi au contact.","Contact with the Pokémon may cause infatuation.","Contact with the Pokémon may cause infatuation.","Contact with the Pokémon may cause infatuation.","Contact with the Pokémon may cause infatuation.","Contact with the Pokémon may cause infatuation."
"Ups Sp. Atk if another Pokémon has Plus or Minus.","Augmente l'Atq. Spé. si un Pokémon a Minus ou Plus.","Ups Sp. Atk if another Pokémon has Plus or Minus.","Ups Sp. Atk if another Pokémon has Plus or Minus.","Ups Sp. Atk if another Pokémon has Plus or Minus.","Ups Sp. Atk if another Pokémon has Plus or Minus.","Ups Sp. Atk if another Pokémon has Plus or Minus."
"Ups Sp. Atk if another Pokémon has Plus or Minus.","Augmente l'Atq. Spé. si un autre Pokémon a Minus ou Plus.","Ups Sp. Atk if another Pokémon has Plus or Minus.","Ups Sp. Atk if another Pokémon has Plus or Minus.","Ups Sp. Atk if another Pokémon has Plus or Minus.","Ups Sp. Atk if another Pokémon has Plus or Minus.","Ups Sp. Atk if another Pokémon has Plus or Minus."
"Castform transforms with the weather.","Castform transforms with the weather.","Castform transforms with the weather.","Castform transforms with the weather.","Castform transforms with the weather.","Castform transforms with the weather.","Castform transforms with the weather."
"Protects the Pokémon from item theft.","Fait s'agripper à l'objet pour en empêcher le vol.","Protects the Pokémon from item theft.","Protects the Pokémon from item theft.","Protects the Pokémon from item theft.","Protects the Pokémon from item theft.","Protects the Pokémon from item theft."
"The Pokémon may heal its own status problems.","Le Pokémon soigne parfois ses problèmes de statut.","The Pokémon may heal its own status problems.","The Pokémon may heal its own status problems.","The Pokémon may heal its own status problems.","The Pokémon may heal its own status problems.","The Pokémon may heal its own status problems."
"Boosts Attack if there is a status problem.","Augmente l'Attaque s'il y a un problème de statut.","Boosts Attack if there is a status problem.","Boosts Attack if there is a status problem.","Boosts Attack if there is a status problem.","Boosts Attack if there is a status problem.","Boosts Attack if there is a status problem."
"Ups Defense if there is a status problem.","Ups Defense if there is a status problem.","Ups Defense if there is a status problem.","Ups Defense if there is a status problem.","Ups Defense if there is a status problem.","Ups Defense if there is a status problem.","Ups Defense if there is a status problem."
"Damages attackers using any draining move.","Blesse l'ennemi qui draine l'énergie du Pokémon.","Damages attackers using any draining move.","Damages attackers using any draining move.","Damages attackers using any draining move.","Damages attackers using any draining move.","Damages attackers using any draining move."
"Powers up Grass-type moves in a pinch.","Booste les capacités Plante en cas de besoin.","Powers up Grass-type moves in a pinch.","Powers up Grass-type moves in a pinch.","Powers up Grass-type moves in a pinch.","Powers up Grass-type moves in a pinch.","Powers up Grass-type moves in a pinch."
